what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1470477631520
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470477671082
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470477671262
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470477671344
error,log,,,"Could not retrieve interfaces",1470477671351
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1470477674131
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1470477677872
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470477679530
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1470477680166
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1470477684339
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470477700459
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470477718486
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470477733267
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470477733296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470477739326
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470477741407
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470477742150
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470477749994
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1470477853504
