what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1470330462498
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1470330484563
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470330487005
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1470330497015
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470330497735
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470330501855
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1470330501875
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1470330502355
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1470330503033
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470330504040
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1470330504733
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1470330505310
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1470330506270
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1470330510498
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470330511218
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470330522630
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1470330522630
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470330526870
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1470330534293
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470330536250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1470330537428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470330539575
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1470330539585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470330546615
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470330547910
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470330559250
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470330559480
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470330559595
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470330563763
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470330722645
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470330737500
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470330745185
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470330746475
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470330768673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470330775978
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470330777215
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470330796305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470330806393
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470330807538
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1470330824600
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470330826713
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1470330836740
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470330838975
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1470330845968
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470330848423
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1470330856293
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470330858560
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470330874093
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470330874303
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1470330878310
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470330880078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470330886808
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470330886998
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1470330890485
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470330892793
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470330899401
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470330899574
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1470330904169
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470330906281
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1470330940644
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1470330951104
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470330953011
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1470330957229
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470330959389
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1470330960884
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1470330961904
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470330963679
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1470330967339
