what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469871810532
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1469871812385
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1469871813506
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469871852693
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469872095402
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469872098594
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1469872108056
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469872108222
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469872108265
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469872113713
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469872144101
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1469872191019
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1469872193095
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469872290069
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469872479429
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1469872482186
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469872495440
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469872514187
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469872514226
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469872514288
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1469872710019
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1469872789695
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1469872792122
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1469872806609
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469872811269
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469872817100
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469872817210
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469872823038
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1469872827395
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469872828377
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469872828419
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1469872843674
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469872844610
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1469872855349
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469872857526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469872860201
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1469872870968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469872874839
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469872877038
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1469872883629
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1469872885889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469872888964
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469872902287
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469872902327
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469872902381
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1469872906683
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1469872918337
