what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470723557710
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470723560772
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1470723560782
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470723565302
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470723571960
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1470723571970
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470723578777
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470723586925
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1470723586938
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470723619040
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470723654971
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470723658869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470723680628
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1470723680638
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470723683801
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470723683851
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470723683851
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470723685076
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470723685076
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1470723686756
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1470723688346
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470723688346
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470723694841
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470723719594
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470723719694
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470723719728
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1470723896888
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1470723896903
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1470723896940
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1470723896950
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1470723896990
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1470723896990
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1470723897000
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1470723897010
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1470723897010
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1470723897040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470723899049
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470723980376
