what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1471692653009
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471692670017
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471692670174
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1471692678325
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1471692680612
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471692713424
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471692713574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471692713700
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471692725778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471692816326
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471692816472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471692816576
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471692820036
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471692820132
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471692820177
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471692824802
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471692824802
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1471692830330
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471692855850
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471692856018
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1471692861948
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1471692865721
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1471692866839
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1471692867503
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1471692868149
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1471692868807
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1471692869386
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1471692871528
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471692894706
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471693030153
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1471693033524
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471693038372
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471693055137
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1471693058552
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1471693083418
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1471693085406
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1471693095422
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1471693095965
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471693103947
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471700277993
