what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470112858733
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470112858983
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470112860209
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470112860459
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470115269709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470115272159
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470116307625
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1470116320166
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470116320462
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470116320522
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470116336265
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470116353298
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470116356504
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1470116357434
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470116360480
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470116362306
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470116362306
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1470116363336
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470116367804
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470116381952
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470116382012
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470116382072
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1470116394104
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470116395434
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470116435638
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470116439867
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470116459144
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470116476968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470116515008
