what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1469771771774
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1469771775688
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1469771777118
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1469771778838
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1469771793354
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1469771841443
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1469771841935
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1469771844363
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469771859200
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469771923859
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469771961944
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469771976515
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469772001779
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469772011166
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469772062113
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469772069081
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1469772093848
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469772094898
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1469772098088
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1469772101433
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1469772103481
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1469772105346
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469772110843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469772193532
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469772338799
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1469772355461
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469772358619
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1469772364276
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469772366075
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1469772387087
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1469772388880
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469772397673
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469772408823
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469772412309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469773249033
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469773255652
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469773261730
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469773309565
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1469773318207
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1469773319687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469773334224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469773335237
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1469773341564
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1469773344498
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1469773350593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469773368083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469773398603
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1469773420627
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1469773461517
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469773462525
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469773462555
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469773470801
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469773480373
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469773482019
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469773615934
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1469773622384
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469773623106
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1469773624895
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1469773641102
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469773643540
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469773646966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469773744781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469774032802
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1469774146763
